EZSave    09/07/2015
VM-830 V3.40 J.P.Instruments (c) 2015
Aircraft Number edm830
Flight #45 5/24/2013 11:23:28 PM
Eng Deg    F OAT Deg    F     F/F GPH
Actual Duration 0.20 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,E5,E6,C1,C2,C3,C4,C5,C6,OILT,DIF,CLD,OAT,BAT,FF,USD,RPM,MAP,HP,OILP,HRS,FF2,USD2,MARK
05/24/13, 23:23:28, 1012, 1058, 1074, 1067, 1088, 1074, 307, 334, 334, 335, 343, 335, 122, 76, 15, 66,27.7,2.3,3.8, 942,14.4, 14, 54,18.6,NA,NA,
05/24/13, 23:23:34, 1070, 1070, 1109, 1112, 1162, 1162, 303, 334, 334, 335, 343, 335, 122, 92, 27, 66,27.9,2.3,3.8, 948,14.4, 14, 54,18.6,NA,NA,
05/24/13, 23:23:40, 1095, 1070, 1096, 1096, 1154, 1152, 303, 331, 334, 335, 340, 335, 122, 84, 27, 66,27.9,2.3,3.8, 948,14.4, 14, 54,18.6,NA,NA,
05/24/13, 23:23:46, 1104, 1070, 1096, 1096, 1154, 1152, 298, 331, 331, 335, 340, 335, 122, 84, 27, 66,27.9,2.3,3.8, 948,14.2, 14, 54,18.6,NA,NA,
05/24/13, 23:23:52, 1112, 1070, 1096, 1088, 1148, 1152, 298, 331, 331, 335, 340, 335, 122, 82, 19, 64,27.9,2.3,3.8, 954,14.2, 14, 54,18.6,NA,NA,
05/24/13, 23:23:58, 1118, 1062, 1090, 1088, 1148, 1160, 298, 331, 331, 335, 340, 335, 122, 98, 19, 64,27.9,2.3,3.8, 954,14.2, 14, 54,18.6,NA,NA,
05/24/13, 23:24:04, 1118, 1062, 1090, 1082, 1148, 1151, 295, 328, 331, 335, 340, 335, 122, 89, 13, 64,27.9,2.3,3.8, 954,14.2, 14, 54,18.6,NA,NA,
05/24/13, 23:24:10, 1118, 1062, 1082, 1075, 1148, 1151, 295, 328, 331, 335, 340, 335, 122, 89, 13, 64,27.9,2.3,3.8, 954,14.2, 14, 54,18.6,NA,NA,
05/24/13, 23:24:16, 1118, 1054, 1082, 1075, 1140, 1151, 295, 328, 331, 335, 337, 335, 122, 97, 13, 64,27.9,2.3,3.8, 954,14.2, 14, 54,18.6,NA,NA,
05/24/13, 23:24:22, 1118, 1054, 1082, 1075, 1133, 1151, 292, 328, 331, 335, 337, 335, 122, 97, 13, 64,27.9,2.3,3.8, 954,14.2, 14, 54,18.6,NA,NA,
05/24/13, 23:24:28, 1118, 1054, 1082, 1075, 1133, 1157, 292, 328, 331, 335, 337, 335, 122, 103, 13, 64,27.9,2.3,3.8, 954,14.2, 14, 54,1.8,NA,NA,
05/24/13, 23:24:34, 1118, 1054, 1082, 1067, 1133, 1145, 292, 325, 331, 335, 337, 335, 122, 91, 0, 64,27.9,2.3,3.8, 954,14.2, 14, 54,1.8,NA,NA,
05/24/13, 23:24:40, 1118, 1054, 1082, 1067, 1133, 1145, 292, 325, 331, 335, 337, 335, 122, 91, 0, 64,27.9,2.3,3.8, 954,14.2, 14, 54,1.8,NA,NA,
05/24/13, 23:24:46, 1118, 1054, 1070, 1067, 1133, 1152, 292, 325, 331, 335, 337, 335, 122, 98, 0, 64,27.9,2.3,3.8, 947,14.2, 14, 54,1.8,NA,NA,
